asv,2694-01-POC08UTR,2694-02-POC09UTR,2694-03-POC11UTR,2694-04-POC12UTR,2694-05-POC13UTR,2694-06-POC14UTR,2694-07-POC28UTR,2694-08-POC29UTR,2694-09-POC35UTR,2694-10-POC36UTR,2694-11-POC05UTR,2694-12-POC06UTR,2694-13-POC07UTR,2694-14-POC15UTR,2694-15-POC16UTR,2694-16-POC17UTR,2694-17-POC18UTR,2694-18-POC19UTR,2694-19-POC21UTR,2694-20-POC34UTR,2694-21-POC49BS,2694-22-POC06PT,2694-23-POC45BS,2694-24-POC50BS,2694-25-POC52BS,2694-26-POC53BS,2694-27-POC54BS,2694-28-POC57BS,2694-29-POC58BS,2694-30-POC59BS,2694-31-POC01PT,2694-32-POC03PT,2694-33-POC07PT,2694-34-POC12PT,2694-35-POC13PT,2694-36-POC14PT,2694-37-POC15PT,2694-38-POC47BS,2694-39-POC60BS,2694-40-POC61BS,2694-41-Col1PcapH,2694-42-POC17VEN,2694-43-Col2PdamH,2694-44-Col3PcapH,2694-45-Col3PdamH,2694-46-Col4PdamH,2694-47-Col5PcapH,2694-48-Col5PdamH,2694-49-POC52AZU,2694-50-COL4Pcap,2694-51-Col1PdamH,2694-52-Col4PcapH,2694-53-COL1Pdam,2694-54-COL2Pdam,2694-55-POC04PB,2694-56-POC04PIZ,2694-57-POC05PB,2694-58-POC07PIZ,2694-59-COL4Pdam,2694-60-POC19VEN
asv0058,192,403,0,0,119,0,48,425,809,0,0,0,0,0,172,0,0,0,0,126,232,557,528,479,35,107,64,78,90,0,340,77,222,174,473,122,124,441,43,69,431,109,112,425,446,531,486,184,0,0,436,372,0,0,668,259,135,90,0,86
asv0059,0,0,0,0,0,0,0,0,0,0,796,1093,935,796,120,369,369,677,904,949,0,0,0,0,0,0,0,0,0,0,120,0,687,251,724,90,168,0,0,0,0,0,0,0,0,160,0,0,0,0,165,0,538,212,0,0,515,230,327,0
asv0060,0,0,0,0,0,0,0,0,0,0,870,1039,974,857,115,346,342,640,908,984,0,0,0,0,0,0,0,0,0,0,119,0,664,272,669,135,137,0,0,0,0,0,0,0,0,136,0,0,0,0,148,0,497,191,0,56,467,284,319,0
asv0061,248,84,0,621,786,0,760,91,110,119,0,0,0,0,0,631,0,0,0,98,136,152,96,785,0,0,0,0,0,0,390,211,104,214,244,0,139,349,0,288,511,0,0,526,542,493,787,384,0,0,464,591,0,0,36,164,0,0,0,0
asv0062,223,63,0,568,693,0,685,104,104,110,0,0,0,0,85,503,0,0,97,72,159,83,76,864,125,0,0,112,0,0,297,215,79,221,179,47,141,244,0,246,452,0,110,434,539,412,668,354,0,0,417,458,0,0,108,162,0,94,0,29
asv0063,0,0,0,0,0,0,0,0,0,0,893,1289,976,762,83,310,285,527,970,845,0,0,0,0,0,0,0,0,0,0,88,0,675,178,516,0,125,0,0,0,0,0,0,0,0,145,0,0,0,0,161,0,480,251,0,106,439,189,309,0
asv0064,0,0,0,0,0,0,75,0,0,0,872,983,902,688,116,335,343,564,895,837,0,0,0,0,0,0,0,0,0,0,88,0,619,217,637,113,132,0,0,0,0,0,0,0,0,122,0,0,0,0,151,0,537,195,0,47,505,232,305,0
asv0065,300,91,0,581,738,0,635,90,98,115,0,0,0,0,0,567,0,0,57,82,149,0,126,821,84,0,0,0,0,0,320,179,93,198,214,0,121,269,0,251,426,0,0,510,565,420,674,346,0,0,452,523,0,0,50,157,0,0,0,0
asv0066,0,0,0,0,0,0,0,0,0,0,930,1083,841,751,98,300,323,582,856,854,0,0,0,0,0,0,0,0,0,0,83,0,623,191,561,64,102,0,0,0,0,0,0,0,0,116,0,0,0,0,150,0,478,220,0,46,410,185,309,0
asv0067,188,418,0,0,113,0,0,496,741,0,0,0,0,0,142,0,0,0,0,0,192,464,533,494,0,0,74,0,0,0,339,54,204,136,485,92,90,383,51,68,397,38,111,405,410,467,470,211,0,0,412,318,0,0,642,205,123,75,0,67
asv0068,228,117,0,512,774,0,619,87,109,90,0,0,0,0,105,512,0,0,0,121,128,0,69,763,0,0,0,0,0,0,302,186,87,173,216,0,140,248,0,282,400,0,0,534,540,418,725,359,0,0,447,504,0,0,0,182,0,66,0,0
asv0069,254,70,0,514,684,0,687,81,113,108,0,0,0,0,0,523,0,0,0,84,135,86,82,894,0,0,0,0,0,0,292,222,107,163,206,43,145,255,0,247,433,0,70,480,576,412,664,301,0,0,406,467,0,0,0,204,0,0,0,0
asv0070,160,421,0,0,80,0,0,411,824,0,0,0,0,0,129,0,0,0,0,0,198,470,525,487,0,0,64,0,0,0,299,78,185,191,571,104,95,441,0,58,449,0,97,377,359,494,433,164,0,0,385,346,0,0,583,179,137,93,0,0
asv0071,701,0,239,194,124,433,267,230,0,589,0,93,178,148,129,395,271,270,141,0,99,64,0,0,0,266,0,100,284,0,0,77,145,0,231,66,326,0,1088,102,42,204,152,0,122,162,99,0,527,188,223,107,0,317,0,0,89,283,96,0
asv0072,197,113,0,491,753,114,582,91,90,90,0,0,0,0,0,518,0,0,61,69,104,96,69,710,146,0,0,0,0,0,254,197,85,160,183,47,123,215,0,264,396,0,71,433,537,323,605,339,0,0,449,388,0,99,45,165,0,0,0,80
asv0073,0,0,0,0,0,0,0,0,0,0,757,1021,829,775,106,335,278,562,752,869,0,0,0,0,0,0,0,0,0,0,75,0,607,218,526,62,141,0,0,0,0,0,0,0,0,118,0,0,0,0,161,0,402,186,0,54,378,204,283,0
asv0074,134,309,0,0,87,0,0,368,789,0,0,0,0,0,133,0,0,0,0,76,193,570,506,349,45,0,68,75,40,0,328,51,130,143,424,89,100,392,66,69,435,45,101,306,319,405,457,147,0,0,318,378,0,0,537,182,108,76,0,102
asv0075,0,0,0,0,0,0,0,0,0,0,719,875,769,657,82,319,308,530,741,800,0,0,0,0,0,0,0,0,0,0,90,0,573,215,545,121,128,0,0,0,0,0,0,0,0,100,0,0,0,0,144,0,431,212,0,75,340,179,277,0
asv0076,0,0,0,0,0,0,41,0,0,0,713,737,609,609,0,322,350,563,635,733,0,0,0,0,0,0,0,0,0,0,111,0,639,246,589,57,85,0,0,0,0,0,0,0,0,141,0,0,0,0,125,0,480,190,0,130,455,197,365,0
asv0077,543,202,175,99,0,387,218,211,0,459,205,112,179,116,104,377,248,191,123,142,72,100,0,123,0,108,0,0,260,0,0,297,169,0,117,129,309,0,825,153,0,134,130,135,92,121,50,0,409,182,155,109,193,130,60,0,80,229,132,0
asv0078,212,85,0,470,733,0,625,88,93,77,0,0,0,0,0,465,0,0,0,72,107,107,56,752,0,0,0,0,0,0,265,172,83,183,167,71,138,235,0,233,407,0,72,453,526,324,552,299,0,0,372,435,0,0,0,153,0,0,0,0
asv0079,144,302,0,0,106,0,0,376,701,0,0,0,0,0,133,0,0,0,0,0,166,490,500,368,23,0,60,0,0,0,268,68,130,182,477,90,114,409,0,63,379,35,95,327,345,451,431,159,0,0,286,328,0,0,493,171,128,82,33,64
asv0080,0,0,0,0,0,0,0,0,0,0,660,822,633,611,0,301,325,618,592,709,0,0,0,0,0,0,0,0,0,0,104,0,593,245,597,0,98,0,0,0,0,0,0,0,0,121,0,0,0,0,145,0,397,206,0,72,403,203,374,0
asv0081,0,0,0,0,0,0,49,0,0,0,680,870,691,606,115,263,295,498,787,721,0,0,0,0,0,0,0,0,0,0,83,0,500,191,583,0,122,0,0,0,0,0,0,0,0,117,0,0,0,0,141,0,437,184,0,0,388,178,288,0
asv0082,632,0,201,0,0,461,250,221,125,557,0,93,193,87,104,438,219,242,94,0,132,105,0,0,0,117,0,222,248,0,0,0,162,0,0,127,368,0,983,0,167,0,81,0,85,149,180,0,481,208,0,130,0,0,169,0,166,271,124,48
asv0083,219,97,0,464,714,0,540,72,94,81,0,0,0,0,0,438,0,0,0,0,115,0,55,764,0,0,0,0,0,0,211,136,93,117,174,0,104,203,0,234,384,0,0,497,605,355,504,347,0,0,431,395,0,0,0,109,0,0,0,0
asv0084,0,0,0,0,0,0,0,0,0,0,676,899,645,519,0,256,297,498,643,661,0,0,0,0,0,0,0,0,0,0,78,0,676,178,469,30,131,0,0,0,0,0,0,0,0,116,0,0,0,0,134,0,391,234,0,105,375,164,362,0
asv0085,594,0,202,0,0,491,255,244,0,503,125,93,185,90,118,389,229,256,119,0,78,106,138,0,0,119,0,130,274,0,0,0,120,0,0,134,300,76,871,69,0,0,88,0,166,110,197,65,473,172,94,169,0,105,0,0,178,261,98,0
asv0086,0,0,0,0,0,0,0,0,0,0,659,701,656,564,0,328,309,518,599,669,0,0,0,0,0,0,0,0,0,0,124,0,547,215,558,0,87,0,0,0,0,0,0,0,0,137,0,0,0,0,140,0,392,190,0,102,382,200,353,0
asv0087,0,0,0,0,0,0,85,0,0,0,637,825,632,582,87,263,268,588,698,698,0,0,0,0,0,0,0,0,0,0,80,0,490,211,436,65,109,0,0,0,0,0,0,0,0,91,0,0,0,0,118,0,391,180,0,44,325,169,245,0
asv0088,0,0,0,0,0,0,0,0,0,0,660,753,625,604,0,304,290,508,613,641,0,0,0,0,0,0,0,0,0,0,70,0,639,226,533,0,71,0,0,0,0,0,0,0,0,106,0,0,0,0,127,0,398,208,0,55,373,163,323,0
asv0089,0,0,0,0,0,0,31,0,0,0,667,793,671,591,81,272,238,565,717,673,0,0,0,0,0,0,0,0,0,0,87,0,501,192,430,114,111,0,0,0,0,0,0,0,0,96,0,0,0,0,112,0,365,155,0,83,309,138,284,0
asv0090,129,309,0,0,67,0,0,369,627,0,0,0,0,0,119,44,0,0,0,0,159,457,435,322,0,0,59,0,44,0,278,46,129,128,402,78,89,335,34,54,332,0,81,299,314,376,417,148,0,0,319,300,0,0,491,160,110,73,0,70
